FPR,LASSO (AUC=0.80),GAM (AUC=0.74),BLR (AUC=0.73),MLP (AUC=0.74),RF (AUC=0.73) NEW,RFÊ(AUC=0.73) OLD
0.656565657,0.923076923,0.884615385,0.911936674,0.882692308,0.852464819,0.86730769
0.666666667,0.928846154,0.890384615,0.924038462,0.890384615,0.858807135,0.86923077
0.676767677,0.928846154,0.892307692,0.927806915,0.894230769,0.859615385,0.87091885
0.686868687,0.936538462,0.9,0.930769231,0.898076923,0.864607615,0.87977122
0.696969697,0.938461538,0.901923077,0.934615385,0.9,0.867307692,0.88431331
0.707070707,0.940384615,0.905769231,0.934615385,0.903846154,0.872321036,0.89074956
0.717171717,0.942307692,0.911538462,0.937432012,0.909615385,0.876923077,0.89483123
0.727272727,0.944230769,0.913461538,0.942307692,0.913461538,0.877945804,0.90492114
0.737373737,0.948076923,0.915384615,0.944230769,0.915384615,0.882692308,0.90961538
0.747474747,0.951923077,0.917307692,0.944230769,0.923076923,0.895065474,0.91519706
0.757575758,0.953846154,0.917307692,0.944230769,0.926923077,0.903846154,0.925
0.767676768,0.957692308,0.923076923,0.944415307,0.926923077,0.905769231,0.925
0.777777778,0.959615385,0.925,0.946153846,0.928846154,0.909228098,0.92772025
0.787878788,0.961538462,0.925,0.947785548,0.934615385,0.917231935,0.92884615
0.797979798,0.963461538,0.932692308,0.95,0.936538462,0.923076923,0.93076923
0.808080808,0.965384615,0.932692308,0.95,0.936538462,0.927721168,0.93935555
0.818181818,0.965384615,0.936538462,0.951398601,0.936538462,0.930769231,0.9420545
0.828282828,0.967307692,0.938461538,0.953846154,0.940384615,0.931479577,0.94230769
0.838383838,0.969230769,0.942307692,0.957692308,0.946153846,0.932998975,0.94230769
0.848484848,0.971153846,0.942307692,0.959615385,0.95,0.941336441,0.94664271
0.858585859,0.974156954,0.944230769,0.959615385,0.95,0.944230769,0.94845231
0.868686869,0.975,0.946153846,0.959615385,0.95,0.95,0.95306969
0.878787879,0.978846154,0.948076923,0.959615385,0.957692308,0.958881717,0.95506561
0.888888889,0.982692308,0.951923077,0.964636752,0.961538462,0.965384615,0.95900175
0.898989899,0.982692308,0.95522533,0.967307692,0.965384615,0.971153846,0.96182271
0.909090909,0.984615385,0.957692308,0.967307692,0.967307692,0.973076923,0.96538462
0.919191919,0.986538462,0.961538462,0.967307692,0.973076923,0.973076923,0.96636519
0.929292929,0.988461538,0.967307692,0.970415695,0.973076923,0.976645731,0.96730769
0.939393939,0.994230769,0.967307692,0.973076923,0.976923077,0.980769231,0.97307692
0.949494949,0.994230769,0.973076923,0.975,0.976923077,0.980769231,0.97692308
0.95959596,0.996153846,0.975,0.977874903,0.978846154,0.982692308,0.97692308
0.96969697,0.996153846,0.975,0.985314685,0.986538462,0.986538462,0.98076923
0.97979798,0.997876198,0.980769231,0.992307692,0.992307692,0.98822556,0.98461538
0.98989899,0.998076923,0.986538462,0.998795649,0.996153846,0.990384615,0.98653846
1,1,1,1,1,1,1
