"Predicted Risk (%)","Uncalibrated","Calibrated"
0,NA,1.171875
10,NA,2.55591054313099
20,NA,4.64135021097046
30,NA,15.4929577464789
40,0.8,20
50,1.31004366812227,55.5555555555556
60,2.32558139534884,NA
70,3.28767123287671,NA
80,12.9032258064516,NA
90,26.3157894736842,NA
100,NA,NA
