"Model","Recall","Precision","PRAUC"
"LASSO_weighted",0,0,0.221818190711444
"LASSO_weighted",0.0101010101010101,0.276121701560298,0.221818190711444
"LASSO_weighted",0.0202020202020202,0.311049121209549,0.221818190711444
"LASSO_weighted",0.0303030303030303,0.342427725238254,0.221818190711444
"LASSO_weighted",0.0404040404040404,0.368417142691535,0.221818190711444
"LASSO_weighted",0.0505050505050505,0.364284148634387,0.221818190711444
"LASSO_weighted",0.0606060606060606,0.364251982535864,0.221818190711444
"LASSO_weighted",0.0707070707070707,0.380252059389336,0.221818190711444
"LASSO_weighted",0.0808080808080808,0.399944216845383,0.221818190711444
"LASSO_weighted",0.0909090909090909,0.395442495775683,0.221818190711444
"LASSO_weighted",0.101010101010101,0.396332889155856,0.221818190711444
"LASSO_weighted",0.111111111111111,0.412202622243842,0.221818190711444
"LASSO_weighted",0.121212121212121,0.424739456312415,0.221818190711444
"LASSO_weighted",0.131313131313131,0.413090908731119,0.221818190711444
"LASSO_weighted",0.141414141414141,0.417371922408982,0.221818190711444
"LASSO_weighted",0.151515151515152,0.427769632887586,0.221818190711444
"LASSO_weighted",0.161616161616162,0.413724763580879,0.221818190711444
"LASSO_weighted",0.171717171717172,0.402471469532721,0.221818190711444
"LASSO_weighted",0.181818181818182,0.404351909700702,0.221818190711444
"LASSO_weighted",0.191919191919192,0.412903801333553,0.221818190711444
"LASSO_weighted",0.202020202020202,0.40709238383657,0.221818190711444
"LASSO_weighted",0.212121212121212,0.410725912431549,0.221818190711444
"LASSO_weighted",0.222222222222222,0.407205452520693,0.221818190711444
"LASSO_weighted",0.232323232323232,0.403388059617064,0.221818190711444
"LASSO_weighted",0.242424242424242,0.381981971013998,0.221818190711444
"LASSO_weighted",0.252525252525253,0.353075539508813,0.221818190711444
"LASSO_weighted",0.262626262626263,0.334098858981123,0.221818190711444
"LASSO_weighted",0.272727272727273,0.324395034264004,0.221818190711444
"LASSO_weighted",0.282828282828283,0.313139813081291,0.221818190711444
"LASSO_weighted",0.292929292929293,0.303758987738232,0.221818190711444
"LASSO_weighted",0.303030303030303,0.293348765432099,0.221818190711444
"LASSO_weighted",0.313131313131313,0.288542707850833,0.221818190711444
"LASSO_weighted",0.323232323232323,0.286787616147873,0.221818190711444
"LASSO_weighted",0.333333333333333,0.284152619234346,0.221818190711444
"LASSO_weighted",0.343434343434343,0.284974193965162,0.221818190711444
"LASSO_weighted",0.353535353535354,0.287319794185991,0.221818190711444
"LASSO_weighted",0.363636363636364,0.272697674066449,0.221818190711444
"LASSO_weighted",0.373737373737374,0.274908165615169,0.221818190711444
"LASSO_weighted",0.383838383838384,0.274852494972971,0.221818190711444
"LASSO_weighted",0.393939393939394,0.267664671409149,0.221818190711444
"LASSO_weighted",0.404040404040404,0.265805389990606,0.221818190711444
"LASSO_weighted",0.414141414141414,0.264314914050217,0.221818190711444
"LASSO_weighted",0.424242424242424,0.264231922248359,0.221818190711444
"LASSO_weighted",0.434343434343434,0.25133761311316,0.221818190711444
"LASSO_weighted",0.444444444444444,0.243237547142727,0.221818190711444
"LASSO_weighted",0.454545454545455,0.242348268511434,0.221818190711444
"LASSO_weighted",0.464646464646465,0.240450849426157,0.221818190711444
"LASSO_weighted",0.474747474747475,0.236607523394737,0.221818190711444
"LASSO_weighted",0.484848484848485,0.23161124806052,0.221818190711444
"LASSO_weighted",0.494949494949495,0.228610136253331,0.221818190711444
"LASSO_weighted",0.505050505050505,0.223326697123119,0.221818190711444
"LASSO_weighted",0.515151515151515,0.21180240056058,0.221818190711444
"LASSO_weighted",0.525252525252525,0.209656317949503,0.221818190711444
"LASSO_weighted",0.535353535353535,0.201054034363867,0.221818190711444
"LASSO_weighted",0.545454545454546,0.193864482061724,0.221818190711444
"LASSO_weighted",0.555555555555556,0.193015765742978,0.221818190711444
"LASSO_weighted",0.565656565656566,0.18922846475833,0.221818190711444
"LASSO_weighted",0.575757575757576,0.189886689529437,0.221818190711444
"LASSO_weighted",0.585858585858586,0.190445986347944,0.221818190711444
"LASSO_weighted",0.595959595959596,0.188440991102765,0.221818190711444
"LASSO_weighted",0.606060606060606,0.181116803400615,0.221818190711444
"LASSO_weighted",0.616161616161616,0.173320890233753,0.221818190711444
"LASSO_weighted",0.626262626262626,0.164192350016185,0.221818190711444
"LASSO_weighted",0.636363636363636,0.1603293162458,0.221818190711444
"LASSO_weighted",0.646464646464647,0.148155425617687,0.221818190711444
"LASSO_weighted",0.656565656565657,0.142734198573058,0.221818190711444
"LASSO_weighted",0.666666666666667,0.130358439364023,0.221818190711444
"LASSO_weighted",0.676767676767677,0.127909837729385,0.221818190711444
"LASSO_weighted",0.686868686868687,0.124617992618888,0.221818190711444
"LASSO_weighted",0.696969696969697,0.121980050437423,0.221818190711444
"LASSO_weighted",0.707070707070707,0.115013517301101,0.221818190711444
"LASSO_weighted",0.717171717171717,0.109785071260674,0.221818190711444
"LASSO_weighted",0.727272727272727,0.101738928785884,0.221818190711444
"LASSO_weighted",0.737373737373737,0.0986714857046476,0.221818190711444
"LASSO_weighted",0.747474747474748,0.0909698176918805,0.221818190711444
"LASSO_weighted",0.757575757575758,0.0892911884142258,0.221818190711444
"LASSO_weighted",0.767676767676768,0.0857519723499105,0.221818190711444
"LASSO_weighted",0.777777777777778,0.0856347167680628,0.221818190711444
"LASSO_weighted",0.787878787878788,0.0829393653655725,0.221818190711444
"LASSO_weighted",0.797979797979798,0.0816050812150181,0.221818190711444
"LASSO_weighted",0.808080808080808,0.0808108800923975,0.221818190711444
