"Model","FPR","TPR","AUC"
"SVM_downsampled",0,0.0153846153846154,0.728764792899409
"SVM_downsampled",0.0101010101010101,0.0971250971250972,0.728764792899409
"SVM_downsampled",0.0202020202020202,0.111072261072261,0.728764792899409
"SVM_downsampled",0.0303030303030303,0.1245337995338,0.728764792899409
"SVM_downsampled",0.0404040404040404,0.171231546231546,0.728764792899409
"SVM_downsampled",0.0505050505050505,0.2,0.728764792899409
"SVM_downsampled",0.0606060606060606,0.224096736596737,0.728764792899409
"SVM_downsampled",0.0707070707070707,0.261159673659674,0.728764792899409
"SVM_downsampled",0.0808080808080808,0.278962703962704,0.728764792899409
"SVM_downsampled",0.0909090909090909,0.302447552447552,0.728764792899409
"SVM_downsampled",0.101010101010101,0.332789432789433,0.728764792899409
"SVM_downsampled",0.111111111111111,0.357051282051282,0.728764792899409
"SVM_downsampled",0.121212121212121,0.375058275058275,0.728764792899409
"SVM_downsampled",0.131313131313131,0.395444832944833,0.728764792899409
"SVM_downsampled",0.141414141414141,0.405905205905206,0.728764792899409
"SVM_downsampled",0.151515151515152,0.429341491841492,0.728764792899409
"SVM_downsampled",0.161616161616162,0.447154234654235,0.728764792899409
"SVM_downsampled",0.171717171717172,0.463626651126651,0.728764792899409
"SVM_downsampled",0.181818181818182,0.487237762237762,0.728764792899409
"SVM_downsampled",0.191919191919192,0.511334498834499,0.728764792899409
"SVM_downsampled",0.202020202020202,0.521396658896659,0.728764792899409
"SVM_downsampled",0.212121212121212,0.531351981351981,0.728764792899409
"SVM_downsampled",0.222222222222222,0.538034188034188,0.728764792899409
"SVM_downsampled",0.232323232323232,0.545969308469308,0.728764792899409
"SVM_downsampled",0.242424242424242,0.569347319347319,0.728764792899409
"SVM_downsampled",0.252525252525253,0.571153846153846,0.728764792899409
"SVM_downsampled",0.262626262626263,0.578554778554779,0.728764792899409
"SVM_downsampled",0.272727272727273,0.59256993006993,0.728764792899409
"SVM_downsampled",0.282828282828283,0.605973193473194,0.728764792899409
"SVM_downsampled",0.292929292929293,0.621746309246309,0.728764792899409
"SVM_downsampled",0.303030303030303,0.635722610722611,0.728764792899409
"SVM_downsampled",0.313131313131313,0.650301087801088,0.728764792899409
"SVM_downsampled",0.323232323232323,0.663461538461538,0.728764792899409
"SVM_downsampled",0.333333333333333,0.673397435897436,0.728764792899409
"SVM_downsampled",0.343434343434343,0.683818958818959,0.728764792899409
"SVM_downsampled",0.353535353535354,0.6873445998446,0.728764792899409
"SVM_downsampled",0.363636363636364,0.704982517482518,0.728764792899409
"SVM_downsampled",0.373737373737374,0.717307692307692,0.728764792899409
"SVM_downsampled",0.383838383838384,0.735761460761461,0.728764792899409
"SVM_downsampled",0.393939393939394,0.736538461538462,0.728764792899409
"SVM_downsampled",0.404040404040404,0.740870240870241,0.728764792899409
"SVM_downsampled",0.414141414141414,0.751019813519814,0.728764792899409
"SVM_downsampled",0.424242424242424,0.761538461538461,0.728764792899409
"SVM_downsampled",0.434343434343434,0.768133255633256,0.728764792899409
"SVM_downsampled",0.444444444444444,0.784615384615385,0.728764792899409
"SVM_downsampled",0.454545454545455,0.788199300699301,0.728764792899409
"SVM_downsampled",0.464646464646465,0.794230769230769,0.728764792899409
"SVM_downsampled",0.474747474747475,0.805516705516706,0.728764792899409
"SVM_downsampled",0.484848484848485,0.818385780885781,0.728764792899409
"SVM_downsampled",0.494949494949495,0.823436285936286,0.728764792899409
"SVM_downsampled",0.505050505050505,0.828127428127428,0.728764792899409
"SVM_downsampled",0.515151515151515,0.832459207459208,0.728764792899409
"SVM_downsampled",0.525252525252525,0.841472416472417,0.728764792899409
"SVM_downsampled",0.535353535353535,0.844230769230769,0.728764792899409
"SVM_downsampled",0.545454545454546,0.848076923076923,0.728764792899409
"SVM_downsampled",0.555555555555556,0.85448717948718,0.728764792899409
"SVM_downsampled",0.565656565656566,0.857692307692308,0.728764792899409
"SVM_downsampled",0.575757575757576,0.863840326340326,0.728764792899409
"SVM_downsampled",0.585858585858586,0.871153846153846,0.728764792899409
"SVM_downsampled",0.595959595959596,0.878749028749029,0.728764792899409
"SVM_downsampled",0.606060606060606,0.878846153846154,0.728764792899409
"SVM_downsampled",0.616161616161616,0.88250777000777,0.728764792899409
"SVM_downsampled",0.626262626262626,0.886208236208236,0.728764792899409
"SVM_downsampled",0.636363636363636,0.895891608391609,0.728764792899409
"SVM_downsampled",0.646464646464647,0.896309246309246,0.728764792899409
"SVM_downsampled",0.656565656565657,0.899436674436674,0.728764792899409
"SVM_downsampled",0.666666666666667,0.901923076923077,0.728764792899409
"SVM_downsampled",0.676767676767677,0.901923076923077,0.728764792899409
"SVM_downsampled",0.686868686868687,0.904972804972805,0.728764792899409
"SVM_downsampled",0.696969696969697,0.907692307692308,0.728764792899409
"SVM_downsampled",0.707070707070707,0.909304584304584,0.728764792899409
"SVM_downsampled",0.717171717171717,0.909615384615385,0.728764792899409
"SVM_downsampled",0.727272727272727,0.911538461538462,0.728764792899409
"SVM_downsampled",0.737373737373737,0.914840714840715,0.728764792899409
"SVM_downsampled",0.747474747474748,0.920609945609946,0.728764792899409
"SVM_downsampled",0.757575757575758,0.92782634032634,0.728764792899409
"SVM_downsampled",0.767676767676768,0.928846153846154,0.728764792899409
"SVM_downsampled",0.777777777777778,0.933547008547009,0.728764792899409
"SVM_downsampled",0.787878787878788,0.936538461538462,0.728764792899409
"SVM_downsampled",0.797979797979798,0.938461538461538,0.728764792899409
"SVM_downsampled",0.808080808080808,0.938461538461538,0.728764792899409
