"Model","FPR","TPR","AUC"
"LASSO",0,0,0.762949697682234
"LASSO",0.0101010101010101,0.125,0.762949697682234
"LASSO",0.0202020202020202,0.206070318570318,0.762949697682234
"LASSO",0.0303030303030303,0.272057109557108,0.762949697682234
"LASSO",0.0404040404040404,0.305769230769231,0.762949697682234
"LASSO",0.0505050505050505,0.340384615384615,0.762949697682234
"LASSO",0.0606060606060606,0.367249417249417,0.762949697682234
"LASSO",0.0707070707070707,0.390384615384615,0.762949697682234
"LASSO",0.0808080808080808,0.412742812742813,0.762949697682234
"LASSO",0.0909090909090909,0.438461538461538,0.762949697682234
"LASSO",0.101010101010101,0.461538461538462,0.762949697682234
"LASSO",0.111111111111111,0.502029914529915,0.762949697682234
"LASSO",0.121212121212121,0.526923076923077,0.762949697682234
"LASSO",0.131313131313131,0.546153846153846,0.762949697682234
"LASSO",0.141414141414141,0.576923076923077,0.762949697682234
"LASSO",0.151515151515152,0.586538461538462,0.762949697682234
"LASSO",0.161616161616162,0.6,0.762949697682234
"LASSO",0.171717171717172,0.605769230769231,0.762949697682234
"LASSO",0.181818181818182,0.617307692307692,0.762949697682234
"LASSO",0.191919191919192,0.625,0.762949697682234
"LASSO",0.202020202020202,0.632692307692308,0.762949697682234
"LASSO",0.212121212121212,0.64787296037296,0.762949697682234
"LASSO",0.222222222222222,0.661538461538462,0.762949697682234
"LASSO",0.232323232323232,0.665384615384615,0.762949697682234
"LASSO",0.242424242424242,0.671153846153846,0.762949697682234
"LASSO",0.252525252525253,0.680769230769231,0.762949697682234
"LASSO",0.262626262626263,0.690384615384615,0.762949697682234
"LASSO",0.272727272727273,0.694230769230769,0.762949697682234
"LASSO",0.282828282828283,0.698076923076923,0.762949697682234
"LASSO",0.292929292929293,0.7,0.762949697682234
"LASSO",0.303030303030303,0.7,0.762949697682234
"LASSO",0.313131313131313,0.711538461538462,0.762949697682234
"LASSO",0.323232323232323,0.717307692307692,0.762949697682234
"LASSO",0.333333333333333,0.723265460030166,0.762949697682234
"LASSO",0.343434343434343,0.728846153846154,0.762949697682234
"LASSO",0.353535353535354,0.734615384615385,0.762949697682234
"LASSO",0.363636363636364,0.736538461538462,0.762949697682234
"LASSO",0.373737373737374,0.736905918155918,0.762949697682234
"LASSO",0.383838383838384,0.742307692307692,0.762949697682234
"LASSO",0.393939393939394,0.742307692307692,0.762949697682234
"LASSO",0.404040404040404,0.744230769230769,0.762949697682234
"LASSO",0.414141414141414,0.748076923076923,0.762949697682234
"LASSO",0.424242424242424,0.748076923076923,0.762949697682234
"LASSO",0.434343434343434,0.753846153846154,0.762949697682234
"LASSO",0.444444444444444,0.755769230769231,0.762949697682234
"LASSO",0.454545454545455,0.759615384615385,0.762949697682234
"LASSO",0.464646464646465,0.763461538461538,0.762949697682234
"LASSO",0.474747474747475,0.767307692307692,0.762949697682234
"LASSO",0.484848484848485,0.770020131383768,0.762949697682234
"LASSO",0.494949494949495,0.778846153846154,0.762949697682234
"LASSO",0.505050505050505,0.782692307692308,0.762949697682234
"LASSO",0.515151515151515,0.789047526547527,0.762949697682234
"LASSO",0.525252525252525,0.794230769230769,0.762949697682234
"LASSO",0.535353535353535,0.805769230769231,0.762949697682234
"LASSO",0.545454545454546,0.816317016317017,0.762949697682234
"LASSO",0.555555555555556,0.828029609279609,0.762949697682234
"LASSO",0.565656565656566,0.832455322455323,0.762949697682234
"LASSO",0.575757575757576,0.840547785547786,0.762949697682234
"LASSO",0.585858585858586,0.848076923076923,0.762949697682234
"LASSO",0.595959595959596,0.855769230769231,0.762949697682234
"LASSO",0.606060606060606,0.861538461538462,0.762949697682234
"LASSO",0.616161616161616,0.870309936976604,0.762949697682234
"LASSO",0.626262626262626,0.878846153846154,0.762949697682234
"LASSO",0.636363636363636,0.882692307692308,0.762949697682234
"LASSO",0.646464646464647,0.896153846153846,0.762949697682234
"LASSO",0.656565656565657,0.901923076923077,0.762949697682234
"LASSO",0.666666666666667,0.903846153846154,0.762949697682234
"LASSO",0.676767676767677,0.905769230769231,0.762949697682234
"LASSO",0.686868686868687,0.905769230769231,0.762949697682234
"LASSO",0.696969696969697,0.909615384615385,0.762949697682234
"LASSO",0.707070707070707,0.911538461538462,0.762949697682234
"LASSO",0.717171717171717,0.915384615384615,0.762949697682234
"LASSO",0.727272727272727,0.917307692307692,0.762949697682234
"LASSO",0.737373737373737,0.921153846153846,0.762949697682234
"LASSO",0.747474747474748,0.921153846153846,0.762949697682234
"LASSO",0.757575757575758,0.921386946386947,0.762949697682234
"LASSO",0.767676767676768,0.928229850957124,0.762949697682234
"LASSO",0.777777777777778,0.932692307692308,0.762949697682234
"LASSO",0.787878787878788,0.938461538461538,0.762949697682234
"LASSO",0.797979797979798,0.942307692307692,0.762949697682234
"LASSO",0.808080808080808,0.942307692307692,0.762949697682234
"LASSO",0.818181818181818,0.950766541151157,0.762949697682234
"LASSO",0.828282828282828,0.953846153846154,0.762949697682234
"LASSO",0.838383838383838,0.955769230769231,0.762949697682234
"LASSO",0.848484848484849,0.958822196322196,0.762949697682234
"LASSO",0.858585858585859,0.965384615384615,0.762949697682234
"LASSO",0.868686868686869,0.973076923076923,0.762949697682234
"LASSO",0.878787878787879,0.975,0.762949697682234
"LASSO",0.888888888888889,0.978846153846154,0.762949697682234
"LASSO",0.898989898989899,0.980769230769231,0.762949697682234
"LASSO",0.909090909090909,0.982692307692308,0.762949697682234
"LASSO",0.919191919191919,0.984615384615385,0.762949697682234
"LASSO",0.929292929292929,0.986538461538462,0.762949697682234
